country_name,gdp,region,year
United States,"26,854,599",Americas,2023
China,"19,373,586",Asia,2023
Japan,"4,409,738",Asia,2023
Germany,"4,308,854",Europe,2023
India,"3,736,882",Asia,2023
United Kingdom,"3,158,938",Europe,2023
France,"2,923,489",Europe,2023
Italy,"2,169,745",Europe,2023
Canada,"2,089,672",Americas,2023
Brazil,"2,081,235",Americas,2023
Russia,"2,062,649",Europe,2023
South Korea,"1,721,909",Asia,2023
Australia,"1,707,548",Oceania,2023
Mexico,"1,663,164",Americas,2023
Spain,"1,492,432",Europe,2023
Indonesia,"1,391,778",Asia,2023
Netherlands,"1,080,880",Europe,2023
Saudi Arabia,"1,061,902",Asia,2023
Turkey,"1,029,303",Asia,2023
Switzerland,"869,601",Europe,2023
Taiwan,"790,728",Asia,2023
Poland,"748,887",Europe,2023
Argentina,"641,102",Americas,2023
Belgium,"624,248",Europe,2023
Sweden,"599,052",Europe,2023
Ireland,"594,095",Europe,2023
Thailand,"574,231",Asia,2023
Norway,"554,105",Europe,2023
Israel,"539,223",Asia,2023
Singapore,"515,548",Asia,2023
Austria,"515,199",Europe,2023
Nigeria,"506,601",Africa,2023
United Arab Emirates,"498,978",Asia,2023
Vietnam,"449,094",Asia,2023
Malaysia,"447,026",Asia,2023
Philippines,"440,901",Asia,2023
Bangladesh,"420,516",Asia,2023
Denmark,"405,626",Europe,2023
South Africa,"399,015",Africa,2023
Hong Kong,"382,854",Asia,2023
Egypt,"378,110",Africa,2023
Iran,"367,970",Asia,2023
Chile,"358,557",Americas,2023
Romania,"348,902",Europe,2023
Pakistan," 341,500",Asia,2023
Colombia,"334,689",Americas,2023
Czech Republic,"330,483",Europe,2023
Finland,"301,670",Europe,2023
Peru,"268,235",Americas,2023
Iraq,"267,893",Asia,2023
Portugal,"267,721",Europe,2023
New Zealand,"251,969",Oceania,2023
Kazakhstan,"245,695",Asia,2023
Greece,"239,300",Europe,2023
Qatar,"219,570",Asia,2023
Algeria,"206,007",Africa,2023
Hungary,"188,505",Europe,2023
Kuwait,"164,713",Asia,2023
Ethiopia,"156,083",Africa,2023
Ukraine,"148,712",Europe,2023
Morocco,"138,781",Africa,2023
Slovakia,"127,533",Europe,2023
Ecuador,"121,291",Americas,2023
Dominican Republic,"121,289",Americas,2023
Puerto Rico,"120,838",Americas,2023
Kenya,"118,130",Africa,2023
Angola,"117,877",Africa,2023
Cuba,—,Americas,"107,352"
Oman,"104,902",Asia,2023
Guatemala,"102,309",Americas,2023
Bulgaria,"100,635",Europe,2023
Venezuela,"96,628",Americas,2023
Uzbekistan,"92,332",Asia,2023
Luxembourg,"86,971",Europe,2023
Tanzania,"85,421",Africa,2023
Turkmenistan,"82,649",Asia,2023
Croatia,"78,881",Europe,2023
Lithuania,"78,346",Europe,2023
Costa Rica,"77,777",Americas,2023
Uruguay,"77,313",Americas,2023
Panama,"77,257",Americas,2023
Ivory Coast,"77,047",Africa,2023
Sri Lanka,—,Asia,"74,404"
Serbia,"73,961",Europe,2023
Belarus,"73,543",Europe,2023
Azerbaijan,"70,030",Asia,2023
DR Congo,"69,474",Africa,2023
Slovenia,"68,108",Europe,2023
Ghana,"66,622",Africa,2023
Myanmar,"63,988",Asia,2023
